change_id,public_sha,source_sha,source_date,mapping_type,release,notes
DEMO-001,7dcbd00cb99c258b64ec152219bf6b697fc6ca29,91998922734bb4f379c0440672bbf0dc3da1fa37,2026-08-31,history-rewrite,v0.1.0,architecture demo foundation
DEMO-002,ead755357f6ffe970d99b8f746e58020ebc45a38,566709582ea4cff8fd7b73032589cb3072b4e077,2026-08-31,history-rewrite,v0.1.0,routing and control hardening
DEMO-003,8d795ec290d08b1c6cc41445a00d324e392af837,f79415ccbb4f577f6071c3aa8f5a3bd8220d3f85,2026-08-31,history-rewrite,v0.1.0,authorized D1 record API
DEMO-004,d59a41237bff9437bed63769a742fb44e5f3b236,f13e16934eeb3bfdd34b90a3774f02b430414776,2026-08-31,history-rewrite,v0.1.0,Cloudflare runtime primitives
DEMO-005,df50b8f01e29143536f8efa8f1844cb29797a61a,d7bc3ff5f1373c768f1773d787db79c6d466b644,2026-08-31,history-rewrite,v0.1.0,controlled integration interfaces
DEMO-006,313d438ace2f2b03dc622451765816d505333287,9f0958e5db30e0b7d12a4860178df4970474fc82,2026-08-31,history-rewrite,v0.1.0,identity and interface boundaries
DEMO-007,26372d6e36aeeaa855a1242834c2c531c8b4e34d,a19b29d9a4e6b597d282f2005081cf5c77683ee7,2026-08-31,history-rewrite,v0.1.0,operations proof surface
DEMO-008,fa8d79e4055f5593eb45f65c13a70049eb728376,7ad01e7908777b10edf7371bd5a97bb532a2060d,2026-08-31,history-rewrite,v0.1.0,delivery and governance evidence
DEMO-009,bfe08cfdd9194c5790a7e756801517bfd50035c5,8721b54d9c9d1b632b137b5f1b62900e9902a9da,2026-08-31,history-rewrite,v0.1.0,route evidence and delivery controls
DEMO-010,dc4832df185f415d6468fd7d3b057eb33dfbe408,4f06be08b28d8d3e86d52d4823df9b1439004d8f,2026-08-31,history-rewrite,v0.1.0,production Cloudflare bindings
DEMO-011,119a0224e6c14db4880f20e1823043a96ee924e3,8a5dbceb48c8d74ac38fbb338f2a8c70cdb42c65,2026-08-31,history-rewrite,v0.1.0,v0.1.0 release record
DEMO-012,4574d5089f783b49bf60ac73a9fb38e1a01532d1,e063d1e5638e251a695fce4c4701e0f9f84f90fb,2026-08-31,history-rewrite,Unreleased,deployment identity verification
DEMO-013,d4160cab71731c64f7b0052ee61ef657cfc0a42d,,2026-08-31,direct,Unreleased,controlled delivery model
DEMO-014,11991d8939deb75b31320b5d76905b50b0bf40da,74497144914d4651cb2f8e53e4b645d0c2c8db76,2026-08-31,decomposed,Unreleased,WizardGang interface system
DEMO-015,49163e19a48505249fb83efff8e43c695fe9f139,74497144914d4651cb2f8e53e4b645d0c2c8db76,2026-08-31,decomposed,Unreleased,state-accurate maintenance surface
DEMO-016,37a2071372c87007488ec09dde38e9c0963b0133,74497144914d4651cb2f8e53e4b645d0c2c8db76,2026-08-31,decomposed,Unreleased,populated record demonstrations
DEMO-017,273658c0ad5c774b3e2efe779ca84f21060020ce,74497144914d4651cb2f8e53e4b645d0c2c8db76,2026-08-31,decomposed,Unreleased,registry-generated sitemap
DEMO-018,,,2026-08-31,direct,Unreleased,record corrected implementation and change provenance; this file is evidence in the commit it maps
